url;keywords1;keywords2
https://www.booking.com/hotel/fr/ha-tel-clairefontaine.en-gb.html?selected_currency=EUR;Comfort Double Room;Chambe Double
https://www.booking.com/hotel/fr/claude-bernard-saint-germain.en-gb.html?selected_currency=EUR;Double;Chambe Double
https://www.booking.com/hotel/fr/clunysquareparis.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/cosmotel.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/coypel.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/d-amiens.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/d-espagne-paris.en-gb.html?selected_currency=EUR;Comfort Double or Twin Room;Chambre Double ou Lits Jumeaux Confort
https://www.booking.com/hotel/fr/daunou-opera.en-gb.html?selected_currency=EUR;Standard Double;Hébergement Double Standard
https://www.booking.com/hotel/fr/daval.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/hoteldebanvilleparis.en-gb.html?selected_currency=EUR;Classic Double or Twin Room;Chambre Double ou Lits Jumeaux Supérieure
https://www.booking.com/hotel/fr/hotel-charonne-paris.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/de-france-quartier-latin.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/de-l-avre.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/de-l-empereir.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/de-l-39-esperance.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/de-l-exposition.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/de-l-exposition-tour-eiffel.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/de-la-bretonnerie.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/la-herse-d-or.en-gb.html?selected_currency=EUR;Comfort Double Room;Chambre Double Supérieure
https://www.booking.com/hotel/fr/citotel-de-la-place-des-alpes.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/hoteltoureiffel.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/hoteldeneuville.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/de-nice.en-gb.html?selected_currency=EUR;Double or Twin Room;Chambre Double ou Lits Jumeaux
https://www.booking.com/hotel/fr/de-paris-montmartre.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/de-roubaix.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/de-suez.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/poussins.en-gb.html?selected_currency=EUR;Standard Double or Twin Room;Chambre Double ou Lits Jumeaux Standard
https://www.booking.com/hotel/fr/hotel-des-arts-bastille.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/des-bains-paris.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/des-carmes-paris.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/des-coma-c-dies.en-gb.html?selected_currency=EUR;Double or Twin Room;Chambre Double ou Lits Jumeaux
https://www.booking.com/hotel/fr/hoteldesducsdanjou.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/des-arts-paris.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/de-mericourt.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/diana-paris.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/du-college-de-france.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/du-levant.en-gb.html?selected_currency=EUR;Comfort Double Room;Chambre Double Confort
https://www.booking.com/hotel/fr/du-maine.en-gb.html?selected_currency=EUR;Premium Room;Chambre Supérieure
https://www.booking.com/hotel/fr/du-midi-paris.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/hotel-plat-etain.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/hoteldupre.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/du-prince-eugene.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/du-quai-de-seine.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/du-vieux-saule.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/ha-tel-edgar.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/eiffelcapitol.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/eiffel-rive-gauche.en-gb.html?selected_currency=EUR;Standard Double Room (2 persons );Chambre Double Standard (2 personnes )
https://www.booking.com/hotel/fr/mercure-paris-saint-charles.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/eiffel-segur.en-gb.html?selected_currency=EUR;Superior Double Room;Chambre Double supérieure
https://www.booking.com/hotel/fr/mama-shelter-lille.en-gb.html?selected_currency=EUR;Small Standard Double Room;Small Standard Double Room
https://www.booking.com/hotel/fr/calm-apparthotel.en-gb.html?selected_currency=EUR;Standard Apartment double bed;Standard Apartment double bed
https://www.booking.com/hotel/fr/de-la-paix-lille.en-gb.html?selected_currency=EUR;Double Room with Shower;Double Room with Shower
https://www.booking.com/hotel/fr/hoteldelatreillelille.en-gb.html?selected_currency=EUR;Double Room;Double Room
https://www.booking.com/hotel/fr/k.en-gb.html?selected_currency=EUR;Cosy Room;Cosy Room
https://www.booking.com/hotel/fr/ibis-styles-lille-grand-place.en-gb.html?selected_currency=EUR;Standard Double Room;Standard Double Room
https://www.booking.com/hotel/fr/flandre-angleterre.en-gb.html?selected_currency=EUR;Superior Double Room;Superior Double Room
